rid,title,english,synonyms,meaning,conjugation,likes,views,createdAt,updatedAt
59,adhifari,body odor,"kikwapa, gugumo",harufu mbaya ya mwili,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
60,adhimisha,celebrate,,sherehekea tukio muhimu lililopita kwa mfano maadhimisho ya nchi kupata uhuru,"adhimishia, adhimishika, adhimishwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
61,adhimisho,commemoration,,kumbukumbu,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
62,adesi,pigeon peas,dengu,nafaka ya jamii ya kunde yenye rangi ya manjano,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
63,adha,distress,"kero, taabu, udhia",jambo linaloleta usumbufu,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
64,adhini,call to prayer,,ita waumini wa Kiislamu kwenye swala msikitini,"adhinia, adhinisha",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
65,adharusi,battle,vita,mapambano makubwa baina ya pande mbili zikitumia silaha,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
66,adhuhuri,midday,,"muda kati ya saa sita mchana na saa tisa mchana: Katika nchi za joto, jua huwa kali sana wakati wa adhuhuri.| swala wanayosali Waislamu wakati wa mchana",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
67,adibu,discipline,,"elimisha mtu tabia njema, tia mtu adabu","adibia, adibika, adibisha, adibiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
68,adimika,be scarce,,kuwa haba : Sukumawiki imeadimika kwa sababu ya ukame.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
69,adhiri,humiliate,,"aibisha mtu aghalabu mbele ya watu, vunjia mtu heshima","adhiria, adhiriana, adhirika, adhirisha, adhiriwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
70,adia,reward/gift,"hidaya, zawadi",kitu au fedha anazopewa mtu kumpongeza kwa jambo alilofanya au kuonyesha upendo kwake,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
71,adilifu,just/fair,,mwenye mwenendo wa kutenda haki bila upendeleo,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
72,adimu,rare,,-enye kupatikana kwa shida,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
73,adili,be just,,"tenda haki, kutopendelea pendelea","adilia, adilika, adilisha",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
74,adhinia,give call to prayer,,toa adhana hata kama si wakati wa swala,"adhinika, adhinishwa, adhiniwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
75,adimisha,make scarce,,"sababisha kupatikana kwa shida, fanya kuwa shida kupatikana : Ukame umeadimisha mahindi.",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
76,adhirika,be disgraced,"fedheheka, aibika","fikwa na tukio la kuaibisha fedheheka, aibika",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
77,adili,just/fair,,"-enye kutenda haki, -siopendelea",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
78,adi,accompany/bid farewell,aga,sindikiza mtu kwa lengo la kumuaga,"adia, adika, adisha, adiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
79,adhimu,honorable/abundant,tukufu,iliyo na sifa na heshima kubwa : Alipewa makaribisho adhimu alipofika kijijini kwetu.| iliyo kwa wingi : Mkwasi yule ana pesa adhimu.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
80,adidi,count/prepare,"hesabu, tayarisha","tafuta idadi ya vitu| fanya iwe tayari, fanya maandalizi","adideia, adideiana, adideika, adideisha, adideiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
81,adrenali,adrenal gland,,moja kati ya jozi ya glandi mwilini iliyo juu ya figo inayotoa adrenalini,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
82,adrenalini,adrenaline,,kemikali ya mwilini ambayo huufanya moyo kwenda kasi na kumpa mtu nguvu zaidi anaposhtuka,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
83,adua,make sacrifice/bewitch,,"fanyia sadaka mizimu, tolea mizimu kafara| husudu| omba dua dhidi ya kijicho",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
84,adui,enemy,hasimu,"mtu aliye dhidi yako, kitu kibaya unachopambana nacho kwa mfano magonjwa, njaa, chuki, wivu, ujinga na kadhalika| mshindani",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
85,advansi,advance payment,"chambele, karadha, kishauzu, rubuni, arbuni",malipo ya awali,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
86,adibu,well-mannered,,"-enye adabu, -enye tabia nzuri, -wa na adabu",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
87,admeri,admiral,,mkuu wa jeshi la wanamaji,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
88,afazia,aphasia,,maradhi yanayomfanya mtu kusahau baadhi ya maneno kwa sababu ya ubongo kuathirika,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
89,afande!,sir! (military),,jina la heshima analoitwa askari wa cheo cha juu na mdogo wake| namna ya kuitikia ambayo askari wa cheo cha chini huitikia anapoitwa na mkubwa wake,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
90,afiki,agree/suit,,kubaliana na hoja zilizotolewa| kuwa katika hali ya kufaa au kupendeza,"afikia, afikiana, afikika, afikisha, afikiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
91,afikiana,reach agreement,,fikia mapatano na mtu kuhusu kitu au jambo,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
92,afadhali,better,bora,-zuri zaidi : Shati alilovaa leo ni afadhali kuliko alilovaa jana.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
93,afa,evil-doer,,mtu anayefanya matendo mabaya kwa wengine,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
94,adinasi,well-behaved child,"mwanadamu, binadamu","mtoto wa mtu| mtoto anayetoka kwenye ukoo mwema, mtoto mwenye tabia njema",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
95,afanalek!,expression of surprise,,neno la kuonyesha mshangao,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
96,afande,effeminate man,"mfiraji, basha",mtu anayefira wanaume wenzake,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
97,afisa,officer,,"mtu mwenye madaraka katika ofisi| mtu mwenye cheo katika jeshi ; afisa kadeti, afisa wa polisi, afisa wa magereza",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
98,Afrika,Africa,,"moja ya mabara saba ya dunia ambalo limezungukwa na Bahari ya Hindi, Bahari ya Atlantiki, Bahari ya Mediterani na Bahari ya Sham",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
99,afkani,heart disease,,ugonjwa wa moyo,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
100,afikisha,punctuate,,"tenga maneno kwa alama k.m kituo, kikomo na kadhalika","akifisha, akifishika, akifishwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
101,afkani,soul,"punguani, zuzu",mwehu,,0,0,2023-02-19 13:59:38.905+00,2023-02-19 13:59:38.905+00
102,afu,tuberose,asumini mwitu,ua dogo jeupe linalonukia vizuri,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
103,afu,forgiveness/healing,ghofira,msamaha wa dhambi anaopewa mtu na Mungu| uponaji| wokovu| ulinzi,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
104,afrikanaizesheni,Africanization,,"utaratibu wa kukabidhi madaraka kwa Waafrika, Wazungu walipoondoka baada ya uhuru",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
105,afwaji,crowd/armed group,kikundi,mkusanyiko wa watu kadhaa| kikundi cha askari wakiwa na silaha zao,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
106,afya!,bless you! (sneezing),,"neno la kumwombea mtu uzima anapoenda chafya, neno la kutakiana uzima wakati wa burudani ya kunywa ulevi : Tunywe kwa afya zetu!",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
107,afya,health,,"hali ya uzima, hali ya kuwa na siha : Afya ya Mwende imeimarika kwa sababu ya mazoezi.",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
108,afyuni,opium,kasumba,dawa ya kulevya inayotengenezwa kwa uteute au nta ya maua,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
109,afriti,demon,,jini aletaye madhara kwa watu| mtu anayeshawishi wenzake wafanye uhalifu au mambo maovu| mtu mjanjamjanja asiyeaminika,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
110,afua,good health,,"hali ya kupona au kuwa na afya nzuri, hali ya kuwa na uzima wa afya",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
111,afueni,recovery,,"tendo la kupungua kwa maradhi, hali ya kupata hujambo : Baada ya kuugua kwa muda, Atiamuga alipata afueni.",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
112,afya,okay! (children's agreement),,hutumiwa na watoto wanaposhauriana kufanya jambo : Afya! Tucheze mpira.,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
113,aga,say goodbye,,"ambia mtu kwaheri, sema buriani","agana, agia, agika, agisha, agwa",0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
114,afu,seek forgiveness/protect,kinga,omba maghufira kutoka kwa Mungu| linda,"afia, afika, afisha",0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
115,agana,agree/part ways,,afikiana na mtu kufanya jambo| takiana heri na mtu mnapoachana,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
116,Agano la Kale,Old Testament,,sehemu ya kwanza katika Maandiko ya Biblia,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
117,agiza,order/command,,"elekeza mtu kufanya jambo fulani| taka uletewe kitu kutoka mahali pengine, taka uwekewe kwa ajili ya kufanya ununuzi| amuru, amrisha","agizia, agiziana, agizika, agizisha, agiziwa, agizwa",0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
118,aghalabu,usually,mara nyingi,"kwa kawaida : Watu wanaofanya mazoezi, aghalabu huwa na afya njema.",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
119,agaa,slip/spill,tawanyika,anguka au ponyoka kutoka mkononi| miminika,"agalia, agalika, agalisha",0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
120,agia,suit/please,,"faa au kubalika kwa jambo, hoja au fikra : Mpango ule haukuniagia.| pendezesha mtu au kitu : Nguo hii imekuagia.","agika, agilia, agisha",0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
121,ago,lap,dago,sehemu anayokaa mtu kwa muda tu kwa nia ya kupumzika : Baba amempakata mtoto agoni kwa mara ya kwanza leo.| kirago au makazi ya muda ya mtu,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
122,ago,thigh,"paja, koro",sehemu ya mwili iliyo baina ya goti na kiuno,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
123,agano,agreement,"ahadi, makubaliano",mapatano,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
124,agizo,order/command,,amri anayopewa mtu ili atekeleze jambo fulani,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
125,agua,predict/interpret,"bashiri, tabiri","weza kujua yatakayotokea baadaye : Samweli anaweza kuagua mustakabali wako kwa kukitazama kitanga cha mkono wako.| elezea maana ya ndoto, tukio au ishara iliyojitokeza, tafsiri ndoto| tibu| punga shetani","agulia, agulika, aguliwa",0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
126,AH,Islamic calendar,,"AlHijra, siku ambayo Mtume Muhammad (S.A.W.) alihama Makka na kukimbilia Madina, mwanzo wa tarehe ya Kiislamu",,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
127,Agosti,August,,mwezi wa nane katika kalenda ya mwaka,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
128,Agano Jipya,New Testament,,sehemu ya pili inayomhusu Kristo katika Maandiko ya Biblia,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
129,ahaa!,aha!,"kumbe!, hivyo!, alaa!, aha!",neno linalotumika kuonyesha mshangao : Ahaa! Kumbe muda wote ule ulikuwa ukinidanganya!,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
130,ahadharu,green,,kijani,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
131,ahadi,promise,,agano la kutimiza kitu au jambo fulani : Maimuna alimwambia ndugu yake asitoe ahadi kama hawezi kuitimiza.,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
132,agronomia,agronomy,,sayansi ya usimamizi wa udongo na uzalishaji wa mazao shambani,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
133,aguzi,prediction,ubashiri,utabiri wa yatakayotokea baadaye : Mara nyingi aguzi lake huwa ni la kweli.,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
134,ahadi,death,kifo,mauti,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
135,ah!,expression of pain,,"sauti ya kuashiria kulalamika, sauti ya kuashiria maumivu: Ah! :  Baridi imezidi leo ->",,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
136,ahali,wife/relatives,"mke, ukoo",mwanamke aliyeolewa| ndugu na jamaa,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
137,ahamaru,red,,-ekundu,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
138,aheri,end,,mwisho,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
139,ahasi,worse,,-liye mbaya kuliko : Yeye ni mbaya lakini kaka yake ni ahasi.,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
140,ahera,afterlife,,kule ambako inaaminika binadamu wataishi baada ya kufufuliwa,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
141,aheri,final price,,bei ya mwisho : Nini aheri yako?| mlo wa mwisho katika mchezo wa karata : Tulipofika aheri ya mchezo nilizikumba karata zote mezani.,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
142,ahidi,promise,,toa ahadi : Makumbi aliahidi kusaidia ujenzi wa shule ya kijiji.,"ahideia, ahideiana, ahideika, ahideisha, ahideiwa",0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
143,ahiri,promise,,toa ahadi: Makumbi aliahidi kusaidia ujenzi wa shule ya kijiji.,"ahideia, ahideiana, ahideika, ahideisha, ahideiwa",0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
144,ahirika,be delayed,,chelewa kufanyika kama ilivyopangwa : Safari imeahirika kwa sababu meli imeharibika.,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
145,ahsante!,thank you!,,tamko analotoa mtu wakati wa kushukuru,,0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
146,aibisha,do shameful things,"fedhehesha, dharaulisha",tenda vitu vya kutahayarisha,"aibishika, aibishwa, aibishana",0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
147,ahirisha,postpone,"ahiri, kawiza, chelewesha",amua kufanya wakati mwingine : Tuliahirisha mkutano kwa sababu idadi ya wajumbe ilikuwa ndogo.,"ahirishia, ahirishiana, ahirishika, ahirishwa",0,0,2023-02-19 13:59:39.574+00,2023-02-19 13:59:39.574+00
